"ID","POST_ID","MS_ID","MS_SPACEID","CAP_COLOR","METER_TYPE","SMART_METE","ACTIVESENS","JURISDICTI","ON_OFF_STR","OSP_ID","RATEAREA","SFPARKAREA","STREET_NUM","STREETNAME","STREET_SEG","Location"
"1436","568-25270","-","0","Black","SS","Y","N","SFMTA","ON","0","MC5","Mission","2527","MISSION ST","9123000","(37.756204, -122.418729)"
"2023","352-04051","352-04050","1","Black","MS","N","N","SFMTA","ON","0","MC3"," ","405","CASTRO ST","3790000","(37.762117, -122.435012)"
"300","859-00400","-","0","Black","SS","Y","N","PORT","ON","0","PortMC1"," ","40","NORTH POINT ST","9686000","(37.807337, -122.408066)"
"1478","370-01513","370-01510","3","Black","MS","Y","N","SFMTA","ON","0","MC5","Mission","151","CAPP ST","3673000","(37.763721, -122.418493)"
"2102","444-00086","444-00080","6","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","8","GRANT AVE","6381000","(37.787175, -122.404856)"
"227","352-04291","352-04290","1","Black","MS","N","N","SFMTA","ON","0","MC3"," ","429","CASTRO ST","3790000","(37.761585, -122.434962)"
"4","330-03300","-","0","Black","SS","Y","N","SFMTA","ON","0","MC5","South Embarcadero","330","BRANNAN ST","3075000","(37.781456, -122.392718)"
"1727","720-03353","720-03350","3","Black","MS","Y","N","SFMTA","ON","0","MC5","Downtown","335","WASHINGTON ST","13405000","(37.795888, -122.399987)"
"1365","469-17600","-","0","Black","SS","N","N","SFMTA","ON","0","MC3"," ","1760","HOLLOWAY AVE","6998201","(37.721013, -122.480496)"
"1251","568-02158","568-02150","8","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","215","MISSION ST","9085000","(37.79151, -122.395219)"
"1497","205-01463","205-01460","3","Black","MS","N","N","SFMTA","ON","0","MC5","Downtown","146","05TH ST","295000","(37.781811, -122.405477)"
"268","542-03240","542-03002","24","Black","MS","Y","N","SFMTA","ON","0","MC5","Civic Center","324","LARKIN ST","8123000","(37.781134, -122.417005)"
"852","502-06268","502-06260","8","Black","MS","N","N","SFMTA","ON","0","MC2"," ","626","JONES ST","7572000","(37.787523, -122.413245)"
"1103","204-03510","-","0","Black","SS","N","N","SFMTA","ON","0","MC5","South Embarcadero","351","04TH ST","258000","(37.781272, -122.400069)"
