"objectid","ID","STREET","SIDE","LOCATION_","Z_OF_UNMET","LEGISLATIO","DESCRIPTIO","LEG_DATE","shape","data_as_of","analysis_neighborhood","supervisor_district"
"126",,"FOLSOM ST","S","81 to 88 feet east of 10th","2","171017-131","from 81 to 88 feet east of 10th","2017-10-16T17:00:00.000000000-07:00","POINT (-122.41235412 37.773100483)","2018-02-12T20:40:38.000000000-08:00","South of Market","6"
"42","24","HARRISON ST","N","W. 9TH ST.","5","668-92",,,"POINT (-122.410487606 37.772382733)","2018-02-12T20:41:17.000000000-08:00","South of Market","6"
"137","22","GUERRERO ST","E","S. MARKET ST.","3","235-98","FROM MARKET ST. TO 18' SOUTHERLY","1998-04-09T17:00:00.000000000-07:00","POINT (-122.424530118 37.770657751)","2018-02-12T20:41:13.000000000-08:00","Mission","8"
"21","36","PAGE ST.","S","W. 721 PAGE ST.","2","1004-99","FROM 4' E. OF THE WEST PROPERTY","1999-11-23T16:00:00.000000000-08:00","POINT (-122.432767069 37.772845519)","2018-02-09T23:59:20.000000000-08:00","Haight Ashbury","5"
"88","0","08TH ST","SW","W OF WISCONSIN","10","09-186","8TH ST SW OF WISCONSIN ST","2009-12-11T16:00:00.000000000-08:00","POINT (-122.400024216 37.766678159)","2018-02-10T00:04:14.000000000-08:00","Mission Bay","6"
"31","0","HYDE ST","W","2037 HYDE ST","2","456-07","FROM 2037 TO 2041 HYDE ST","2007-08-06T17:00:00.000000000-07:00","POINT (-122.419255714 37.79969783)","2018-02-09T23:59:20.000000000-08:00","Russian Hill","3"
"17","92","DOLORES ST","W","N. 28TH ST","4","73-04","FROM 8 FEET TO 22 FEET NORTH OF 28TH",,"POINT (-122.424672398 37.745657171)","2018-02-09T23:59:20.000000000-08:00","Noe Valley","8"
"63","0","27TH AVE","W","671 27TH AVE","1",,"671 27TH AVE","1899-12-29T16:00:00.000000000-08:00","POINT (-122.486817688 37.777423579)","2018-02-09T23:59:20.000000000-08:00","Outer Richmond","1"
"104","31","LEAVENWORTH ST.","E","N. CLAY ST.","2","761-95","FROM CLAY ST. TO 7' NORTHERLY","1995-09-27T17:00:00.000000000-07:00","POINT (-122.415982701 37.793272187)","2018-02-09T23:59:20.000000000-08:00","Nob Hill","3"
"115","19","FOLSOM ST","S","W. 8TH ST.","5","246-92",,,"POINT (-122.410468834 37.774513965)","2018-02-12T20:27:39.000000000-08:00","South of Market","6"
